# Gene set generated on 2023-04-10T12:15:45 using cellxgene version 1.1.1
# Input data file was write/reisolated_data_no_rat_final.h5ad, which was last modified on 2023-04-03T11:57:50
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high (4/10/2023, 12:15:44 PM)",,MALAT1,
"Pop1 high (4/10/2023, 12:15:44 PM)",,XIST,
"Pop1 high (4/10/2023, 12:15:44 PM)",,PTN,
"Pop1 high (4/10/2023, 12:15:44 PM)",,FTX,
"Pop1 high (4/10/2023, 12:15:44 PM)",,NOVA1,
"Pop1 high (4/10/2023, 12:15:44 PM)",,WSB1,
"Pop1 high (4/10/2023, 12:15:44 PM)",,MSI2,
"Pop1 high (4/10/2023, 12:15:44 PM)",,NEAT1,
"Pop1 high (4/10/2023, 12:15:44 PM)",,GPC6,
"Pop1 high (4/10/2023, 12:15:44 PM)",,PTK2,
"Pop1 high (4/10/2023, 12:15:44 PM)",,TCF12,
"Pop1 high (4/10/2023, 12:15:44 PM)",,GREB1L,
"Pop1 high (4/10/2023, 12:15:44 PM)",,GPHN,
"Pop1 high (4/10/2023, 12:15:44 PM)",,TTC3,
"Pop1 high (4/10/2023, 12:15:44 PM)",,SMYD3,
"Pop1 high (4/10/2023, 12:15:44 PM)",,NHSL1,
"Pop1 high (4/10/2023, 12:15:44 PM)",,LSAMP,
"Pop1 high (4/10/2023, 12:15:44 PM)",,GPM6A,
"Pop1 high (4/10/2023, 12:15:44 PM)",,CALD1,
"Pop1 high (4/10/2023, 12:15:44 PM)",,CCDC102B,
"Pop1 high (4/10/2023, 12:15:44 PM)",,QKI,
"Pop1 high (4/10/2023, 12:15:44 PM)",,TRIO,
"Pop1 high (4/10/2023, 12:15:44 PM)",,TENM3,
"Pop1 high (4/10/2023, 12:15:44 PM)",,KCNQ5,
"Pop1 high (4/10/2023, 12:15:44 PM)",,JPX,
"Pop1 high (4/10/2023, 12:15:44 PM)",,EGFR,
"Pop1 high (4/10/2023, 12:15:44 PM)",,SLC35F1,
"Pop1 high (4/10/2023, 12:15:44 PM)",,SDK1,
"Pop1 high (4/10/2023, 12:15:44 PM)",,SEC61G,
"Pop1 high (4/10/2023, 12:15:44 PM)",,SBF2,
"Pop1 high (4/10/2023, 12:15:44 PM)",,MIR99AHG,
"Pop1 high (4/10/2023, 12:15:44 PM)",,HNRNPC,
"Pop1 high (4/10/2023, 12:15:44 PM)",,LRP1B,
"Pop1 high (4/10/2023, 12:15:44 PM)",,IGF2BP3,
"Pop1 high (4/10/2023, 12:15:44 PM)",,PSD3,
"Pop1 high (4/10/2023, 12:15:44 PM)",,ANK2,
"Pop1 high (4/10/2023, 12:15:44 PM)",,FNDC3B,
"Pop1 high (4/10/2023, 12:15:44 PM)",,TTC28,
"Pop1 high (4/10/2023, 12:15:44 PM)",,KMT2C,
