# Gene set generated on 2023-04-10T12:15:20 using cellxgene version 1.1.1
# Input data file was write/reisolated_data_no_rat_final.h5ad, which was last modified on 2023-04-03T11:57:50
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high (4/10/2023, 12:08:14 PM)",,MALAT1,
"Pop1 high (4/10/2023, 12:08:14 PM)",,WSB1,
"Pop1 high (4/10/2023, 12:08:14 PM)",,NEAT1,
"Pop1 high (4/10/2023, 12:08:14 PM)",,XIST,
"Pop1 high (4/10/2023, 12:08:14 PM)",,FNDC3B,
"Pop1 high (4/10/2023, 12:08:14 PM)",,HNRNPC,
"Pop1 high (4/10/2023, 12:08:14 PM)",,PTK2,
"Pop1 high (4/10/2023, 12:08:14 PM)",,SBF2,
"Pop1 high (4/10/2023, 12:08:14 PM)",,RBM39,
"Pop1 high (4/10/2023, 12:08:14 PM)",,SEC61G,
"Pop1 high (4/10/2023, 12:08:14 PM)",,QKI,
"Pop1 high (4/10/2023, 12:08:14 PM)",,BIRC6,
"Pop1 high (4/10/2023, 12:08:14 PM)",,TTC3,
"Pop1 high (4/10/2023, 12:08:14 PM)",,CALD1,
"Pop1 high (4/10/2023, 12:08:14 PM)",,ANKRD17,
"Pop1 high (4/10/2023, 12:08:14 PM)",,JPX,
"Pop1 high (4/10/2023, 12:08:14 PM)",,PUM2,
"Pop1 high (4/10/2023, 12:08:14 PM)",,GPHN,
"Pop1 high (4/10/2023, 12:08:14 PM)",,PVT1,
"Pop1 high (4/10/2023, 12:08:14 PM)",,STRN3,
"Pop1 high (4/10/2023, 12:08:14 PM)",,PDE10A,
"Pop1 high (4/10/2023, 12:08:14 PM)",,FTX,
"Pop1 high (4/10/2023, 12:08:14 PM)",,LSAMP,
"Pop1 high (4/10/2023, 12:08:14 PM)",,LRP1B,
"Pop1 high (4/10/2023, 12:08:14 PM)",,JMJD1C,
"Pop1 high (4/10/2023, 12:08:14 PM)",,NHSL1,
"Pop1 high (4/10/2023, 12:08:14 PM)",,GOLGA4,
