dataset,sample,age_group,cell_type,count,percentage,total_cells_in_sample
GSE131928,BT749,pediatric,Neural_Progenitor,39,12.302839116719243,317
GSE131928,BT920,pediatric,Neural_Progenitor,26,8.637873754152823,301
GSE131928,MGH121,adult,Neural_Progenitor,34,11.447811447811448,297
GSE131928,MGH122,adult,Neural_Progenitor,19,6.95970695970696,273
GSE131928,MGH113,adult,Neural_Progenitor,24,9.230769230769232,260
GSE131928,MGH85,pediatric,Neural_Progenitor,13,5.3061224489795915,245
GSE131928,MGH136,adult,Neural_Progenitor,23,9.956709956709958,231
GSE131928,MGH126,adult,Neural_Progenitor,20,8.73362445414847,229
GSE131928,MGH152,adult,Neural_Progenitor,27,11.790393013100436,229
GSE131928,BT830,pediatric,Neural_Progenitor,22,10.0,220
GSE131928,BT1187,pediatric,Neural_Progenitor,23,10.50228310502283,219
GSE131928,BT786,pediatric,Neural_Progenitor,18,8.49056603773585,212
GSE131928,MGH100,adult,Neural_Progenitor,20,9.569377990430622,209
GSE131928,MGH106,adult,Neural_Progenitor,25,12.5,200
GSE131928,MGH101,adult,Neural_Progenitor,19,9.5,200
GSE131928,MGH129,adult,Neural_Progenitor,17,8.854166666666668,192
GSE131928,MGH128,adult,Neural_Progenitor,16,8.695652173913043,184
GSE131928,MGH151,adult,Neural_Progenitor,15,9.202453987730062,163
GSE131928,tumour name,adult/pediatric,Neural_Progenitor,0,0.0,1
GSE131928,MGH105,adult,Oligodendrocytic,90,1.4641288433382138,6147
GSE131928,MGH124,adult,Oligodendrocytic,62,2.2262118491921004,2785
GSE131928,MGH143,adult,Oligodendrocytic,34,1.313755795981453,2588
GSE131928,MGH102,adult,Oligodendrocytic,43,2.014995313964386,2134
GSE131928,MGH125,adult,Oligodendrocytic,54,2.68389662027833,2012
GSE131928,MGH115,adult,Oligodendrocytic,21,1.4502762430939227,1448
GSE131928,MGH118,adult,Oligodendrocytic,13,2.411873840445269,539
GSE131928,MGH114,adult,Oligodendrocytic,8,1.6913319238900635,473
GSE131928,MGH66,adult,Oligodendrocytic,10,2.293577981651376,436
GSE131928,MGH110,adult,Oligodendrocytic,7,1.9498607242339834,359
GSE131928,MGH104,adult,Oligodendrocytic,7,1.971830985915493,355
GSE131928,BT771,pediatric,Oligodendrocytic,8,2.359882005899705,339
GSE131928,BT1160,pediatric,Oligodendrocytic,5,1.4925373134328357,335
GSE131928,BT749,pediatric,Oligodendrocytic,11,3.4700315457413247,317
GSE131928,BT920,pediatric,Oligodendrocytic,7,2.3255813953488373,301
GSE131928,MGH121,adult,Oligodendrocytic,5,1.6835016835016834,297
GSE131928,MGH122,adult,Oligodendrocytic,6,2.197802197802198,273
GSE131928,MGH113,adult,Oligodendrocytic,8,3.076923076923077,260
GSE131928,MGH85,pediatric,Oligodendrocytic,5,2.0408163265306123,245
GSE131928,MGH136,adult,Oligodendrocytic,4,1.7316017316017316,231
GSE131928,MGH126,adult,Oligodendrocytic,3,1.3100436681222707,229
GSE131928,MGH152,adult,Oligodendrocytic,5,2.1834061135371177,229
GSE131928,BT830,pediatric,Oligodendrocytic,3,1.3636363636363635,220
GSE131928,BT1187,pediatric,Oligodendrocytic,5,2.28310502283105,219
GSE131928,BT786,pediatric,Oligodendrocytic,7,3.30188679245283,212
GSE131928,MGH100,adult,Oligodendrocytic,3,1.4354066985645932,209
GSE131928,MGH106,adult,Oligodendrocytic,5,2.5,200
GSE131928,MGH101,adult,Oligodendrocytic,3,1.5,200
GSE131928,MGH129,adult,Oligodendrocytic,3,1.5625,192
GSE131928,MGH128,adult,Oligodendrocytic,4,2.1739130434782608,184
GSE131928,MGH151,adult,Oligodendrocytic,3,1.8404907975460123,163
GSE131928,tumour name,adult/pediatric,Oligodendrocytic,0,0.0,1
