cell_type_simplified,Organoids_Count,Organoids_Percentage,GSE131928_Count,GSE131928_Percentage
Astrocytic,2183,14.880708929788684,2920,24.184197449064104
Mesenchymal,6710,45.73960463531016,6292,52.11197614709293
Neural_Progenitor,4656,31.73824130879346,2408,19.94368063607752
Oligodendrocytic,1121,7.641445126107703,454,3.7601457677654464
