sample,Astrocytic,Mesenchymal,Neural_Progenitor,Oligodendrocytic
1914_GBO,5.646063922397712,56.43576669568462,31.277204327819923,6.640965054097749
1914_TSM,7.209302325581396,69.14728682170542,18.91472868217054,4.728682170542635
1919_GBO,15.99651618522282,26.506024096385545,47.263753810422415,10.233705907969226
1919_TSM,15.22107533507934,61.50053920813434,17.809274379910644,5.469111076875674
range,10.350452262825108,42.641262725319876,29.45447943051177,5.5050237374265905
rMAD,39.17550561376762,10.77829259497705,26.83285767302198,15.790841138183682
