dataset,sample,cell_type,total_cells,SOX2_positive,SOX2_negative,percent_SOX2_negative
GSE131928,MGH114,Neural_Progenitor,41,33,8,19.51219512195122
GSE131928,MGH66,Neural_Progenitor,43,34,9,20.930232558139537
GSE131928,MGH110,Neural_Progenitor,29,22,7,24.137931034482758
GSE131928,MGH104,Neural_Progenitor,51,39,12,23.52941176470588
GSE131928,BT771,Neural_Progenitor,35,27,8,22.857142857142858
GSE131928,BT1160,Neural_Progenitor,36,27,9,25.0
GSE131928,BT749,Neural_Progenitor,39,29,10,25.64102564102564
GSE131928,BT920,Neural_Progenitor,26,20,6,23.076923076923077
GSE131928,MGH121,Neural_Progenitor,34,27,7,20.588235294117645
GSE131928,MGH122,Neural_Progenitor,19,14,5,26.31578947368421
GSE131928,MGH113,Neural_Progenitor,24,20,4,16.666666666666664
GSE131928,MGH85,Neural_Progenitor,13,10,3,23.076923076923077
GSE131928,MGH136,Neural_Progenitor,23,18,5,21.73913043478261
GSE131928,MGH126,Neural_Progenitor,20,15,5,25.0
GSE131928,MGH152,Neural_Progenitor,27,20,7,25.925925925925924
GSE131928,BT830,Neural_Progenitor,22,17,5,22.727272727272727
GSE131928,BT1187,Neural_Progenitor,23,18,5,21.73913043478261
GSE131928,BT786,Neural_Progenitor,18,14,4,22.22222222222222
GSE131928,MGH100,Neural_Progenitor,20,16,4,20.0
GSE131928,MGH106,Neural_Progenitor,25,19,6,24.0
GSE131928,MGH101,Neural_Progenitor,19,14,5,26.31578947368421
GSE131928,MGH129,Neural_Progenitor,17,13,4,23.52941176470588
GSE131928,MGH128,Neural_Progenitor,16,13,3,18.75
GSE131928,MGH151,Neural_Progenitor,15,12,3,20.0
GSE131928,tumour name,Neural_Progenitor,0,0,0,0.0
GSE131928,MGH105,Oligodendrocytic,90,19,71,78.88888888888889
GSE131928,MGH124,Oligodendrocytic,62,21,41,66.12903225806451
GSE131928,MGH143,Oligodendrocytic,34,5,29,85.29411764705883
GSE131928,MGH102,Oligodendrocytic,43,10,33,76.74418604651163
GSE131928,MGH125,Oligodendrocytic,54,11,43,79.62962962962963
GSE131928,MGH115,Oligodendrocytic,21,5,16,76.19047619047619
GSE131928,MGH118,Oligodendrocytic,13,4,9,69.23076923076923
GSE131928,MGH114,Oligodendrocytic,8,3,5,62.5
GSE131928,MGH66,Oligodendrocytic,10,2,8,80.0
GSE131928,MGH110,Oligodendrocytic,7,2,5,71.42857142857143
GSE131928,MGH104,Oligodendrocytic,7,2,5,71.42857142857143
GSE131928,BT771,Oligodendrocytic,8,1,7,87.5
GSE131928,BT1160,Oligodendrocytic,5,1,4,80.0
GSE131928,BT749,Oligodendrocytic,11,4,7,63.63636363636363
GSE131928,BT920,Oligodendrocytic,7,1,6,85.71428571428571
GSE131928,MGH121,Oligodendrocytic,5,1,4,80.0
GSE131928,MGH122,Oligodendrocytic,6,1,5,83.33333333333334
GSE131928,MGH113,Oligodendrocytic,8,1,7,87.5
GSE131928,MGH85,Oligodendrocytic,5,1,4,80.0
GSE131928,MGH136,Oligodendrocytic,4,1,3,75.0
GSE131928,MGH126,Oligodendrocytic,3,1,2,66.66666666666666
GSE131928,MGH152,Oligodendrocytic,5,1,4,80.0
GSE131928,BT830,Oligodendrocytic,3,1,2,66.66666666666666
GSE131928,BT1187,Oligodendrocytic,5,1,4,80.0
GSE131928,BT786,Oligodendrocytic,7,1,6,85.71428571428571
GSE131928,MGH100,Oligodendrocytic,3,1,2,66.66666666666666
GSE131928,MGH106,Oligodendrocytic,5,1,4,80.0
GSE131928,MGH101,Oligodendrocytic,3,1,2,66.66666666666666
GSE131928,MGH129,Oligodendrocytic,3,1,2,66.66666666666666
GSE131928,MGH128,Oligodendrocytic,4,1,3,75.0
GSE131928,MGH151,Oligodendrocytic,3,1,2,66.66666666666666
GSE131928,tumour name,Oligodendrocytic,0,0,0,0.0
