,raw_time,hours,raw_o2,noise,smoothed,Raw Name,Position,Name
1,8,0.0,,0.0,36.79423720259833,A02,"[0, 0]",A02
2,7365,2.05,37.7,5.7,37.37948037760116,A02,"[0, 0]",A02
3,11056,3.07,37.4,5.9,37.970121070685295,A02,"[0, 0]",A02
4,14751,4.1,38.9,5.5,38.56206912453672,A02,"[0, 0]",A02
5,18449,5.12,39.2,5.4,39.15753436120861,A02,"[0, 0]",A02
6,22146,6.15,39.3,5.0,39.76080682109937,A02,"[0, 0]",A02
7,25843,7.18,40.5,5.2,40.1827519226063,A02,"[0, 0]",A02
8,29540,8.21,41.3,4.9,40.384291442876524,A02,"[0, 0]",A02
9,33233,9.23,42.2,5.1,40.45106118170202,A02,"[0, 0]",A02
10,36927,10.26,40.1,5.1,40.403241641329736,A02,"[0, 0]",A02
11,40625,11.28,39.9,5.5,40.19847151956861,A02,"[0, 0]",A02
12,44318,12.31,39.8,5.4,39.826995340587295,A02,"[0, 0]",A02
13,48013,13.34,39.3,5.6,39.3968198871395,A02,"[0, 0]",A02
14,51703,14.36,40.2,5.7,39.0615217009754,A02,"[0, 0]",A02
15,55397,15.39,38.2,5.7,38.86952030885978,A02,"[0, 0]",A02
16,59091,16.41,37.6,5.7,38.75233243045858,A02,"[0, 0]",A02
17,62791,17.44,38.1,5.9,38.722746099188676,A02,"[0, 0]",A02
18,66491,18.47,39.8,5.7,38.778382954815335,A02,"[0, 0]",A02
19,70186,19.5,38.3,5.7,38.97710009302103,A02,"[0, 0]",A02
20,73884,20.52,40.6,5.8,39.19164159105943,A02,"[0, 0]",A02
21,77584,21.55,38.3,5.7,39.336739402457354,A02,"[0, 0]",A02
22,81283,22.58,40.0,5.3,39.537463853416845,A02,"[0, 0]",A02
23,84981,23.61,39.5,4.8,39.84473212880211,A02,"[0, 0]",A02
24,88680,24.63,37.8,4.9,40.18059188604501,A02,"[0, 0]",A02
25,92377,25.66,41.4,5.1,40.61634298908641,A02,"[0, 0]",A02
26,96077,26.69,41.2,4.7,41.18973646115487,A02,"[0, 0]",A02
27,99774,27.72,41.2,5.5,41.87586755456648,A02,"[0, 0]",A02
28,103472,28.74,42.1,5.6,42.55314786974188,A02,"[0, 0]",A02
29,107172,29.77,44.6,5.6,43.174493566707554,A02,"[0, 0]",A02
30,110870,30.8,43.9,5.4,43.89728352579028,A02,"[0, 0]",A02
31,114568,31.82,44.2,5.6,44.659398541779794,A02,"[0, 0]",A02
32,118266,32.85,44.8,5.4,45.183912136373046,A02,"[0, 0]",A02
33,121963,33.88,48.7,5.6,45.50638965313288,A02,"[0, 0]",A02
