Well,Row,Column,Content,Data_Column,O2_Value,Timepoint
E12,E,12,"GEMCI
5",GEMCI_5.0_4,4.9,94.0h
E13,E,13,Empty,GEMCI_15.0_1,,94.0h
E14,E,14,Empty,GEMCI_15.0_2,,94.0h
E15,E,15,"GEMCI
15",GEMCI_15.0_3,3.3,94.0h
E16,E,16,"GEMCI
15",GEMCI_15.0_4,7.0,94.0h
E17,E,17,"GEMCI
45",GEMCI_45.0_1,2.2,94.0h
E18,E,18,"GEMCI
45",GEMCI_45.0_2,6.1,94.0h
E19,E,19,"GEMCI
45",GEMCI_45.0_3,3.6,94.0h
E20,E,20,"GEMCI
45",GEMCI_45.0_4,10.4,94.0h
E21,E,21,DMSO,DMSO_0.1_1,9.6,94.0h
E22,E,22,DMSO,DMSO_0.1_2,9.9,94.0h
E23,E,23,DMSO,DMSO_0.1_3,9.8,94.0h
E24,E,24,DMSO,DMSO_0.1_4,10.3,94.0h
F01,F,1,"GEMCI
0.556",GEMCI_0.555555556_5,2.4,94.0h
F02,F,2,"GEMCI
0.556",GEMCI_0.555555556_6,5.3,94.0h
F03,F,3,Empty,,,94.0h
F04,F,4,Empty,,,94.0h
F05,F,5,"GEMCI
1.67",GEMCI_1.666666667_5,6.9,94.0h
F06,F,6,"GEMCI
1.67",GEMCI_1.666666667_6,63.1,94.0h
F07,F,7,"GEMCI
1.67",GEMCI_1.666666667_7,10.5,94.0h
F08,F,8,Empty,,,94.0h
F09,F,9,"GEMCI
5",GEMCI_5.0_5,26.3,94.0h
F10,F,10,"GEMCI
5",GEMCI_5.0_6,12.1,94.0h
F11,F,11,Empty,,,94.0h
F12,F,12,Empty,,,94.0h
F13,F,13,Empty,GEMCI_15.0_5,,94.0h
F14,F,14,"GEMCI
15",GEMCI_15.0_6,10.0,94.0h
F15,F,15,Empty,GEMCI_15.0_7,,94.0h
F16,F,16,"GEMCI
15",GEMCI_15.0_8,6.7,94.0h
F17,F,17,"GEMCI
45",GEMCI_45.0_5,8.6,94.0h
F18,F,18,Empty,GEMCI_45.0_6,,94.0h
F19,F,19,"GEMCI
45",GEMCI_45.0_7,16.2,94.0h
F20,F,20,Empty,,,94.0h
F21,F,21,DMSO,DMSO_0.1_5,19.3,94.0h
F22,F,22,DMSO,DMSO_0.1_6,6.7,94.0h
F23,F,23,Empty,,,94.0h
F24,F,24,Empty,,,94.0h
G01,G,1,"VINC
0.167",VINC_0.166666667_1,32.9,94.0h
G02,G,2,"VINC
0.167",VINC_0.166666667_2,51.1,94.0h
G03,G,3,"VINC
0.167",VINC_0.166666667_3,55.9,94.0h
G04,G,4,"VINC
0.167",VINC_0.166666667_4,60.3,94.0h
G05,G,5,Empty,VINC_0.5_1,,94.0h
G06,G,6,"VINC
0.5",VINC_0.5_2,53.2,94.0h
G07,G,7,Empty,VINC_0.5_3,,94.0h
G08,G,8,"VINC
0.5",VINC_0.5_4,56.2,94.0h
G09,G,9,"VINC
1.5",VINC_1.5_1,64.5,94.0h
G10,G,10,"VINC
1.5",VINC_1.5_2,61.0,94.0h
G11,G,11,Empty,VINC_1.5_3,,94.0h
G12,G,12,"VINC
1.5",VINC_1.5_4,56.9,94.0h
G13,G,13,Empty,VINC_4.5_1,,94.0h
G14,G,14,Empty,VINC_4.5_2,,94.0h
G15,G,15,"VINC
4.5",VINC_4.5_3,48.9,94.0h
G16,G,16,Empty,VINC_4.5_4,,94.0h
G17,G,17,"VINC
13.5",VINC_13.5_1,51.1,94.0h
G18,G,18,Empty,VINC_13.5_2,,94.0h
G19,G,19,"VINC
13.5",VINC_13.5_3,52.9,94.0h
G20,G,20,"VINC
13.5",VINC_13.5_4,49.7,94.0h
G21,G,21,DMSO,DMSO_0.3_1,5.5,94.0h
G22,G,22,DMSO,DMSO_0.3_2,8.2,94.0h
G23,G,23,DMSO,DMSO_0.3_3,4.9,94.0h
G24,G,24,DMSO,DMSO_0.3_4,5.9,94.0h
H01,H,1,"VINC
0.167",VINC_0.166666667_5,61.4,94.0h
H02,H,2,Empty,,,94.0h
H03,H,3,Empty,,,94.0h
H04,H,4,Empty,,,94.0h
H05,H,5,"VINC
0.5",VINC_0.5_5,67.5,94.0h
H06,H,6,"VINC
0.5",VINC_0.5_6,70.1,94.0h
H07,H,7,Empty,,,94.0h
H08,H,8,Empty,,,94.0h
H09,H,9,"VINC
1.5",VINC_1.5_5,31.1,94.0h
H10,H,10,Empty,VINC_1.5_6,,94.0h
H11,H,11,Empty,,,94.0h
H12,H,12,Empty,,,94.0h
H13,H,13,Empty,VINC_4.5_5,,94.0h
H14,H,14,"VINC
4.5",VINC_4.5_6,34.6,94.0h
H15,H,15,Empty,,,94.0h
H16,H,16,Empty,,,94.0h
H17,H,17,Empty,VINC_13.5_5,,94.0h
H18,H,18,"VINC
13.5",VINC_13.5_6,74.9,94.0h
H19,H,19,"VINC
13.5",VINC_13.5_7,78.1,94.0h
H20,H,20,Empty,,,94.0h
H21,H,21,Empty,DMSO_0.3_5,,94.0h
H22,H,22,Empty,,,94.0h
H23,H,23,Empty,,,94.0h
H24,H,24,Empty,,,94.0h
