Well,Row_o2,Column_o2,Content,Data_Column,O2_Value,Timepoint,Row_pb,Column_pb,Presto_Blue_Value
F21,F,21,DMSO,DMSO_0.1_5,19.3,94.0h,F,21,291802.0
F22,F,22,DMSO,DMSO_0.1_6,6.7,94.0h,F,22,210993.0
G02,G,2,"VINC
0.167",VINC_0.166666667_2,51.1,94.0h,G,2,128547.0
G03,G,3,"VINC
0.167",VINC_0.166666667_3,55.9,94.0h,G,3,151756.0
G04,G,4,"VINC
0.167",VINC_0.166666667_4,60.3,94.0h,G,4,112376.0
G06,G,6,"VINC
0.5",VINC_0.5_2,53.2,94.0h,G,6,103741.0
G08,G,8,"VINC
0.5",VINC_0.5_4,56.2,94.0h,G,8,114227.0
G09,G,9,"VINC
1.5",VINC_1.5_1,64.5,94.0h,G,9,116457.0
G10,G,10,"VINC
1.5",VINC_1.5_2,61.0,94.0h,G,10,114710.0
G12,G,12,"VINC
1.5",VINC_1.5_4,56.9,94.0h,G,12,152301.0
G15,G,15,"VINC
4.5",VINC_4.5_3,48.9,94.0h,G,15,148084.0
G17,G,17,"VINC
13.5",VINC_13.5_1,51.1,94.0h,G,17,113791.0
G19,G,19,"VINC
13.5",VINC_13.5_3,52.9,94.0h,G,19,115009.0
G20,G,20,"VINC
13.5",VINC_13.5_4,49.7,94.0h,G,20,118105.0
G21,G,21,DMSO,DMSO_0.3_1,5.5,94.0h,G,21,329165.0
G22,G,22,DMSO,DMSO_0.3_2,8.2,94.0h,G,22,299739.0
G23,G,23,DMSO,DMSO_0.3_3,4.9,94.0h,G,23,296878.0
H05,H,5,"VINC
0.5",VINC_0.5_5,67.5,94.0h,H,5,137499.0
H06,H,6,"VINC
0.5",VINC_0.5_6,70.1,94.0h,H,6,145733.0
H09,H,9,"VINC
1.5",VINC_1.5_5,31.1,94.0h,H,9,131136.0
H14,H,14,"VINC
4.5",VINC_4.5_6,34.6,94.0h,H,14,73198.0
H18,H,18,"VINC
13.5",VINC_13.5_6,74.9,94.0h,H,18,111903.0
H19,H,19,"VINC
13.5",VINC_13.5_7,78.1,94.0h,H,19,107337.0
