Target_Time_h,Actual_Time_h,Drug,Concentration_uM,Replicate,Column,O2_Percent
6,6.0,GEMCI,45.0,4,GEMCI_45.0_4,8.0
6,6.0,GEMCI,45.0,6,GEMCI_45.0_6,79.2
6,6.0,GEMCI,45.0,7,GEMCI_45.0_7,14.1
6,6.0,PLICA,0.001111111,1,PLICA_0.001111111_1,13.4
6,6.0,PLICA,0.001111111,4,PLICA_0.001111111_4,35.4
6,6.0,PLICA,0.001111111,5,PLICA_0.001111111_5,12.5
6,6.0,PLICA,0.003333333,2,PLICA_0.003333333_2,8.7
6,6.0,PLICA,0.003333333,3,PLICA_0.003333333_3,12.5
6,6.0,PLICA,0.003333333,6,PLICA_0.003333333_6,5.4
6,6.0,PLICA,0.003333333,7,PLICA_0.003333333_7,5.6
6,6.0,PLICA,0.003333333,8,PLICA_0.003333333_8,8.1
6,6.0,PLICA,0.01,1,PLICA_0.01_1,21.5
6,6.0,PLICA,0.01,3,PLICA_0.01_3,23.9
6,6.0,PLICA,0.01,4,PLICA_0.01_4,12.1
6,6.0,PLICA,0.01,5,PLICA_0.01_5,4.1
6,6.0,PLICA,0.01,6,PLICA_0.01_6,4.2
6,6.0,PLICA,0.03,3,PLICA_0.03_3,5.1
6,6.0,PLICA,0.03,4,PLICA_0.03_4,16.6
6,6.0,PLICA,0.03,5,PLICA_0.03_5,6.6
6,6.0,PLICA,0.03,6,PLICA_0.03_6,22.2
6,6.0,PLICA,0.03,8,PLICA_0.03_8,12.6
6,6.0,PLICA,0.09,1,PLICA_0.09_1,21.7
6,6.0,PLICA,0.09,2,PLICA_0.09_2,10.2
6,6.0,PLICA,0.09,3,PLICA_0.09_3,13.1
6,6.0,PLICA,0.09,5,PLICA_0.09_5,10.1
6,6.0,PLICA,0.09,6,PLICA_0.09_6,17.8
6,6.0,VINC,0.166666667,1,VINC_0.166666667_1,11.2
6,6.0,VINC,0.166666667,3,VINC_0.166666667_3,7.9
6,6.0,VINC,0.166666667,4,VINC_0.166666667_4,26.3
6,6.0,VINC,0.5,1,VINC_0.5_1,9.4
6,6.0,VINC,0.5,2,VINC_0.5_2,15.1
6,6.0,VINC,0.5,3,VINC_0.5_3,16.6
6,6.0,VINC,0.5,5,VINC_0.5_5,20.9
6,6.0,VINC,1.5,1,VINC_1.5_1,12.5
6,6.0,VINC,1.5,5,VINC_1.5_5,11.9
6,6.0,VINC,4.5,2,VINC_4.5_2,13.7
6,6.0,VINC,4.5,6,VINC_4.5_6,10.5
6,6.0,VINC,13.5,1,VINC_13.5_1,21.8
6,6.0,VINC,13.5,2,VINC_13.5_2,18.9
6,6.0,VINC,13.5,3,VINC_13.5_3,20.9
6,6.0,VINC,13.5,4,VINC_13.5_4,12.1
6,6.0,VINC,13.5,6,VINC_13.5_6,18.2
6,6.0,VINC,13.5,7,VINC_13.5_7,28.5
6,6.0,DMSO,0.011111111,1,DMSO_0.011111111_1,47.5
6,6.0,DMSO,0.011111111,2,DMSO_0.011111111_2,26.5
6,6.0,DMSO,0.011111111,3,DMSO_0.011111111_3,28.9
6,6.0,DMSO,0.033333333,1,DMSO_0.033333333_1,19.4
6,6.0,DMSO,0.033333333,2,DMSO_0.033333333_2,25.9
6,6.0,DMSO,0.033333333,3,DMSO_0.033333333_3,17.2
6,6.0,DMSO,0.1,1,DMSO_0.1_1,10.2
6,6.0,DMSO,0.1,2,DMSO_0.1_2,8.3
6,6.0,DMSO,0.1,3,DMSO_0.1_3,9.3
6,6.0,DMSO,0.1,4,DMSO_0.1_4,16.8
6,6.0,DMSO,0.1,5,DMSO_0.1_5,37.6
6,6.0,DMSO,0.1,6,DMSO_0.1_6,14.0
6,6.0,DMSO,0.3,1,DMSO_0.3_1,11.9
6,6.0,DMSO,0.3,2,DMSO_0.3_2,26.2
6,6.0,DMSO,0.3,3,DMSO_0.3_3,15.3
12,12.0,DACTI,0.002222222,1,DACTI_0.002222222_1,17.2
12,12.0,DACTI,0.002222222,2,DACTI_0.002222222_2,27.4
12,12.0,DACTI,0.006666667,1,DACTI_0.006666667_1,9.2
12,12.0,DACTI,0.006666667,2,DACTI_0.006666667_2,43.3
12,12.0,DACTI,0.006666667,3,DACTI_0.006666667_3,9.8
12,12.0,DACTI,0.006666667,4,DACTI_0.006666667_4,24.3
12,12.0,DACTI,0.02,1,DACTI_0.02_1,10.5
12,12.0,DACTI,0.02,2,DACTI_0.02_2,14.8
12,12.0,DACTI,0.02,3,DACTI_0.02_3,12.7
12,12.0,DACTI,0.02,4,DACTI_0.02_4,7.1
12,12.0,DACTI,0.06,1,DACTI_0.06_1,74.8
12,12.0,DACTI,0.06,2,DACTI_0.06_2,26.1
12,12.0,DACTI,0.06,3,DACTI_0.06_3,24.9
12,12.0,DACTI,0.06,4,DACTI_0.06_4,15.2
12,12.0,DACTI,0.18,1,DACTI_0.18_1,67.3
12,12.0,DACTI,0.18,2,DACTI_0.18_2,19.1
12,12.0,DACTI,0.18,3,DACTI_0.18_3,22.5
12,12.0,GEMCI,0.555555556,1,GEMCI_0.555555556_1,10.1
12,12.0,GEMCI,0.555555556,3,GEMCI_0.555555556_3,2.5
12,12.0,GEMCI,0.555555556,4,GEMCI_0.555555556_4,29.1
12,12.0,GEMCI,0.555555556,6,GEMCI_0.555555556_6,12.9
12,12.0,GEMCI,1.666666667,1,GEMCI_1.666666667_1,17.0
12,12.0,GEMCI,1.666666667,3,GEMCI_1.666666667_3,11.1
12,12.0,GEMCI,1.666666667,5,GEMCI_1.666666667_5,10.2
12,12.0,GEMCI,1.666666667,6,GEMCI_1.666666667_6,5.0
12,12.0,GEMCI,1.666666667,7,GEMCI_1.666666667_7,8.1
12,12.0,GEMCI,5.0,1,GEMCI_5.0_1,9.8
12,12.0,GEMCI,5.0,3,GEMCI_5.0_3,5.8
12,12.0,GEMCI,5.0,4,GEMCI_5.0_4,9.0
12,12.0,GEMCI,5.0,5,GEMCI_5.0_5,16.5
12,12.0,GEMCI,5.0,6,GEMCI_5.0_6,14.8
12,12.0,GEMCI,15.0,2,GEMCI_15.0_2,14.5
12,12.0,GEMCI,15.0,4,GEMCI_15.0_4,6.3
12,12.0,GEMCI,15.0,6,GEMCI_15.0_6,5.1
12,12.0,GEMCI,15.0,7,GEMCI_15.0_7,5.4
12,12.0,GEMCI,15.0,8,GEMCI_15.0_8,10.6
12,12.0,GEMCI,45.0,1,GEMCI_45.0_1,3.7
12,12.0,GEMCI,45.0,2,GEMCI_45.0_2,7.8
12,12.0,GEMCI,45.0,3,GEMCI_45.0_3,5.2
12,12.0,GEMCI,45.0,4,GEMCI_45.0_4,7.2
12,12.0,GEMCI,45.0,5,GEMCI_45.0_5,5.9
12,12.0,GEMCI,45.0,6,GEMCI_45.0_6,73.0
12,12.0,GEMCI,45.0,7,GEMCI_45.0_7,10.5
12,12.0,PLICA,0.001111111,1,PLICA_0.001111111_1,5.7
12,12.0,PLICA,0.001111111,3,PLICA_0.001111111_3,6.4
12,12.0,PLICA,0.001111111,4,PLICA_0.001111111_4,16.4
12,12.0,PLICA,0.001111111,5,PLICA_0.001111111_5,12.0
12,12.0,PLICA,0.001111111,6,PLICA_0.001111111_6,9.1
12,12.0,PLICA,0.003333333,1,PLICA_0.003333333_1,5.2
12,12.0,PLICA,0.003333333,5,PLICA_0.003333333_5,4.6
12,12.0,PLICA,0.003333333,6,PLICA_0.003333333_6,4.4
