Well,Row_o2,Column_o2,Content,Data_Column,O2_Value,Timepoint,Row_pb,Column_pb,Presto_Blue_Value
E22,E,22,DMSO,DMSO_0.1_2,6.2727272727272725,avg of last 10h,E,22,277777.0
E23,E,23,DMSO,DMSO_0.1_3,6.954545454545453,avg of last 10h,E,23,276349.0
F02,F,2,"GEMCI
0.556",GEMCI_0.555555556_6,6.045454545454546,avg of last 10h,F,2,216459.0
F05,F,5,"GEMCI
1.67",GEMCI_1.666666667_5,6.972727272727273,avg of last 10h,F,5,271353.0
F06,F,6,"GEMCI
1.67",GEMCI_1.666666667_6,12.22,avg of last 10h,F,6,290481.0
F07,F,7,"GEMCI
1.67",GEMCI_1.666666667_7,11.081818181818182,avg of last 10h,F,7,293556.0
F09,F,9,"GEMCI
5",GEMCI_5.0_5,23.0,avg of last 10h,F,9,296181.0
F10,F,10,"GEMCI
5",GEMCI_5.0_6,13.154545454545456,avg of last 10h,F,10,240752.0
F14,F,14,"GEMCI
15",GEMCI_15.0_6,10.35,avg of last 10h,F,14,310410.0
F16,F,16,"GEMCI
15",GEMCI_15.0_8,9.227272727272728,avg of last 10h,F,16,323904.0
F17,F,17,"GEMCI
45",GEMCI_45.0_5,8.989999999999998,avg of last 10h,F,17,313795.0
F19,F,19,"GEMCI
45",GEMCI_45.0_7,15.22,avg of last 10h,F,19,291085.0
F21,F,21,DMSO,DMSO_0.1_5,23.6,avg of last 10h,F,21,291802.0
F22,F,22,DMSO,DMSO_0.1_6,6.654545454545456,avg of last 10h,F,22,210993.0
G02,G,2,"VINC
0.167",VINC_0.166666667_2,49.91818181818182,avg of last 10h,G,2,128547.0
G03,G,3,"VINC
0.167",VINC_0.166666667_3,55.78181818181818,avg of last 10h,G,3,151756.0
G04,G,4,"VINC
0.167",VINC_0.166666667_4,57.73636363636364,avg of last 10h,G,4,112376.0
G06,G,6,"VINC
0.5",VINC_0.5_2,49.345454545454544,avg of last 10h,G,6,103741.0
G08,G,8,"VINC
0.5",VINC_0.5_4,56.78181818181818,avg of last 10h,G,8,114227.0
G09,G,9,"VINC
1.5",VINC_1.5_1,61.42727272727273,avg of last 10h,G,9,116457.0
G10,G,10,"VINC
1.5",VINC_1.5_2,58.48181818181819,avg of last 10h,G,10,114710.0
G12,G,12,"VINC
1.5",VINC_1.5_4,57.145454545454534,avg of last 10h,G,12,152301.0
G15,G,15,"VINC
4.5",VINC_4.5_3,51.72727272727273,avg of last 10h,G,15,148084.0
G17,G,17,"VINC
13.5",VINC_13.5_1,48.95454545454545,avg of last 10h,G,17,113791.0
G18,G,18,"VINC
13.5",VINC_13.5_2,57.22222222222222,avg of last 10h,G,18,98065.0
G19,G,19,"VINC
13.5",VINC_13.5_3,50.76363636363636,avg of last 10h,G,19,115009.0
G20,G,20,"VINC
13.5",VINC_13.5_4,50.290909090909096,avg of last 10h,G,20,118105.0
G21,G,21,DMSO,DMSO_0.3_1,5.763636363636365,avg of last 10h,G,21,329165.0
G22,G,22,DMSO,DMSO_0.3_2,10.28888888888889,avg of last 10h,G,22,299739.0
G23,G,23,DMSO,DMSO_0.3_3,4.781818181818182,avg of last 10h,G,23,296878.0
H05,H,5,"VINC
0.5",VINC_0.5_5,68.50909090909092,avg of last 10h,H,5,137499.0
H06,H,6,"VINC
0.5",VINC_0.5_6,64.97272727272728,avg of last 10h,H,6,145733.0
H09,H,9,"VINC
1.5",VINC_1.5_5,30.818181818181817,avg of last 10h,H,9,131136.0
H10,H,10,"VINC
1.5",VINC_1.5_6,34.83,avg of last 10h,H,10,162222.0
H14,H,14,"VINC
4.5",VINC_4.5_6,34.872727272727275,avg of last 10h,H,14,73198.0
H18,H,18,"VINC
13.5",VINC_13.5_6,69.3090909090909,avg of last 10h,H,18,111903.0
H19,H,19,"VINC
13.5",VINC_13.5_7,71.35454545454546,avg of last 10h,H,19,107337.0
